"section","id","item","detail","status","refs"
"DECISION","D1","Base measure = VARIANCE","FORGE decomposes uncertainty by the law of total variance, not by entropy / mutual information","LOCKED","R1,R2,R5"
"DECISION","D2","Why: regression works natively","Entropy needs a declared likelihood; phonon DOS regression has none under pure MSE, so the entropy form cannot be computed there at all","LOCKED","R1,R3"
"DECISION","D3","Why: dimensionless","Differential entropy is unit-dependent - rescaling the DOS axis shifts it by a constant. A ratio of variances is dimensionless","LOCKED","R5"
"DECISION","D4","Why: dB becomes literal","A ratio of variances IS a signal-to-noise ratio, so the 10*log10 convention is derived rather than borrowed. Under entropy it was analogy only","LOCKED",""
"DECISION","D5","Why: MI violates axioms","Mutual information is not maximal under complete ignorance, not monotone under mean-preserving spreads, not invariant under location shifts. The label-wise variance form does not have these defects","LOCKED","R7,R2"
"DECISION","D6","Cost accepted","G1 changes value. The Jul 21 gauge calibration on the genre bundle was entropy-based and must be redone","ACCEPTED",""
"DECISION","D7","Classification form","Label-wise: for class c treat p(y_c|x,theta) as a Bernoulli success probability and apply the law of total variance per class","LOCKED","R2"
"DECISION","D8","EAR aggregation rule","Ratio of sums, NOT mean of ratios - mean-of-ratios diverges where the aleatoric term approaches zero","LOCKED",""
"DECISION","D9","Attribution is ORTHOGONAL","Attribution is a second axis (where the doubt is / whether the number may be quoted), never folded into the EAR scalar","LOCKED",""
"DECISION","D10","EAR is a FIELD not a scalar","Each model resolves EAR along its own natural axis; the scalar is only the aggregate headline","LOCKED","R2"
"EQUATION","E1","Law of total variance","Var(y|x) = E_theta[Var(y|x,theta)]  +  Var_theta(E[y|x,theta])","LOCKED","R1,R5"
"EQUATION","E2","Aleatoric term","AU(x) = E_theta[ Var(y|x,theta) ]   -- irreducible; more data does not move it","LOCKED","R1"
"EQUATION","E3","Epistemic term","EU(x) = Var_theta( E[y|x,theta] )   -- reducible; shrinks as 1/N","LOCKED","R1"
"EQUATION","E4","Label-wise (classification)","AU_c = E_theta[ p_c (1 - p_c) ] ;  EU_c = Var_theta[ p_c ]   for each class c","LOCKED","R2"
"EQUATION","E5","EAR, per point","EAR(x) = 10 * log10( EU(x) / AU(x) )   in dB; signed, zero at parity","LOCKED",""
"EQUATION","E6","EAR, aggregate","EAR = 10 * log10( sum_i EU_i / sum_i AU_i )  -- ratio of sums","LOCKED",""
"EQUATION","E7","Reducibility readout","REDUCIBILITY = 100 * EU / (EU + AU)   -- the 7-seg digital readout, secondary to the dB dial","LOCKED",""
"EQUATION","E8","Multi-output note","For a 51-bin DOS the decomposition yields a COVARIANCE. The diagonal gives EAR(omega); off-diagonals say which bins are JOINTLY uncertain and must not be discarded","LOCKED","R1"
"EQUATION","E9","LLLA epistemic term","EU = J Sigma J^T with Sigma = (H + tau I)^-1 - computable from the cached eigen-projections, no new precompute","LOCKED","R10"
"AXIS","A1","brandeis","resolving axis = 6 faces; reads as: which face you are ignorant about","LOCKED","R12,R13"
"AXIS","A2","genre","resolving axis = 10 classes; reads as: which genres are model-limited vs genuinely confusable","LOCKED","R2"
"AXIS","A3","phonon","resolving axis = energy bin omega; reads as: EAR(omega), a SPECTRUM - which frequency ranges are data-limited vs physics-limited","LOCKED","R1,R15"
"AXIS","A4","atlas","resolving axis = signal region / analysis variable; reads as: is this excess ignorance or background","LOCKED",""
"AXIS","A5","Headline plot","EAR(omega) across the phonon spectrum - answers a condensed-matter question in condensed-matter coordinates","PRIORITY","R15"
"GAUGE","G1","PROVENANCE - how the budget splits","Var_theta(E[y|theta]) / Var_total. Replaces the entropy epistemic-share of gauge lock mk1","CHANGED","R1,R2"
"GAUGE","G2","POSTERIOR - how fast it shrinks","Epistemic VARIANCE scales as 1/N, so gain at 2x = 50% exactly. The old 29.29% is 1-1/sqrt(2), the standard-deviation version","CHANGED",""
"GAUGE","G3","ATTRIBUTION - is the arithmetic right","|EU_LLLA - EU_HMC| / EU_HMC. Replaces 1-TV, which has no natural form for a DOS regression","CHANGED","R11"
"GAUGE","G4","GENEALOGY - where it sits","Concentration of epistemic variance across features (participation ratio of the per-feature EU contributions). More principled than the old dsigma/dphi","CHANGED",""
"GAUGE","G5","Unifying claim","Under variance the four gauges stop being four unrelated numbers and become four views of ONE variance budget: split it, shrink it, verify it, locate it","LOCKED",""
"GAUGE","G6","Exclusion still stands","No fifth gauge averaging the other four. Accuracy is not a gauge","LOCKED",""
"CHANGE","W1","Recalibrate G1","Genre bundle gauge calibration (Jul 21, entropy-based) must be rerun on the variance decomposition","TODO",""
"CHANGE","W2","Declare G2 convention","Board must state variance (50%) vs sd (29.29%) and use one consistently","TODO",""
"CHANGE","W3","Rewrite G3 for regression","Relative epistemic-variance error; keep 1-TV only as a classification-side cross-check","TODO",""
"CHANGE","W4","Rebuild llla.predictive","Return the variance decomposition alongside (or instead of) the entropy one","TODO",""
"CHANGE","W5","Recalibrate EAR band edges","Current edges -20/-5/+5/+20 dB were fitted to the Brandeis die alone, n=1. Refit once genre and phonon bundles exist, or ship the number without band names","TODO",""
"CHANGE","W6","Health dashboard around variance","Per Steve Aug 5: the final health dashboard is arranged around the variance budget","TODO",""
"CAVEAT","V1","MAP != predictive mean","Both decompositions assume p(y|x,theta_MAP) = E_theta[p(y|x,theta)], which is generally incorrect. LLLA linearisation makes it approximately true; C2 measures how approximately","OPEN","R2"
"CAVEAT","V2","Bias contaminates the split","Predictive bias contaminates the aleatoric/epistemic decomposition and arguably belongs on the epistemic side. Misspecification masquerades as irreducible noise and EAR then talks you OUT of fixing the model","OPEN","R14"
"CAVEAT","V3","Nothing catches a wrong likelihood","If the declared likelihood is wrong, LLLA and HMC agree beautifully and are both wrong. FORGE has no instrument for this - disclose it","OPEN",""
"CAVEAT","V4","EMD/JS is not a predictive distribution","Phonon mk2 EMD/JS terms treat the DOS as a distribution over ENERGIES, not over outcomes. Taking its entropy and calling it aleatoric would be wrong - the arithmetic goes through cleanly, which is what makes it dangerous","OPEN","R15"
"CAVEAT","V5","ATLAS global average is meaningless","EAR must be computed conditioned on the signal region; 99.99% of events are trivially background","OPEN",""
"CAVEAT","V6","Estimators may be correlated","Recent work reports aleatoric/epistemic definitions can be mutually inconsistent and practical estimators strongly correlated, challenging the premise of meaningful disentanglement","OPEN","R14"
"BLOCKER","B1","phonon data absent","runs/ and data/raw still missing from INFO_698_no_wav.zip - no phonon bundle can be calibrated","BLOCKED",""
"BLOCKER","B2","phonon sigma^2 undecided","Pure MSE gives no aleatoric estimate. Route: estimate sigma^2 from held-out residuals per bin (cheap, no retrain) OR add a heteroscedastic sigma(x) head. See V2 - residuals conflate noise with bias","BLOCKED","R3"
"BLOCKER","B3","ATLAS not built","Designed on the fly during full-stack work; needs the conditional formulation, not the global one","BLOCKED",""
"BLOCKER","B4","Order of attack","genre first (3 bundles exist, likelihood declared, runs today) -> phonon second (blocked on B1+B2) -> ATLAS last","LOCKED",""
"REFERENCE","R1","ORIGIN - gives entropy AND variance decompositions side by side","Depeweg, S., Hernandez-Lobato, J.M., Doshi-Velez, F., Udluft, S. (2018). Decomposition of Uncertainty in Bayesian Deep Learning for Efficient and Risk-sensitive Learning. ICML.","","arXiv:1710.07283"
"REFERENCE","R2","Label-wise variance decomposition per class; avoids the MI axiom violations","Sale, Y., Hofman, P., Wimmer, L., Huellermeier, E., Nagler, T. (2023). Second-Order Uncertainty Quantification: Variance-Based Measures.","","arXiv:2401.00276"
"REFERENCE","R3","Heteroscedastic sigma(x) head - how the aleatoric term gets estimated in regression","Kendall, A., Gal, Y. (2017). What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision? NeurIPS.","","arXiv:1703.04977"
"REFERENCE","R4","Variance decomposition in practice","Lakshminarayanan, B., Pritzel, A., Blundell, C. (2017). Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles. NeurIPS.","","arXiv:1612.01474"
